c,2,2,8,0,50,2,1
c,3,3,3,0,23,9,4
b,4,31,16,99,227
b,5,46,28,99,274
c,6,4,3,0,60,4,2
c,7,4,13,0,54,3,2
b,8,41,69,109,375
b,9,28,8,109,203
b,10,26,6,101,111
b,11,30,10,109,163
c,12,3,10,0,60,5,1
c,13,7,7,0,55,15,6
c,14,5,9,0,91,7,3
c,15,3,5,0,46,1,1
c,16,2,5,0,19,1,1
c,17,3,3,0,6,0,0
c,18,8,8,0,73,16,8
c,19,4,7,0,55,8,4
c,20,5,7,0,50,8,5
c,21,3,7,0,71,6,2
c,22,2,6,0,26,2,2
c,23,3,5,0,26,2,2
c,24,3,9,0,43,7,2
c,25,1,6,0,40,5,1
c,2,3,2,0,5,1,1
c,3,3,6,0,24,7,1
b,4,24,9,51,94
b,5,30,20,48,98
c,6,1,5,0,7,1,1
c,7,3,3,0,35,13,4
b,8,45,67,55,191
b,9,26,8,57,100
b,10,40,12,53,68
b,11,28,8,46,89
c,12,2,6,0,31,2,1
c,13,6,4,0,30,1,1
c,14,4,3,0,18,4,3
c,15,4,7,0,37,3,2
c,16,8,4,0,30,2,1
c,17,7,3,0,13,2,2
c,18,5,3,0,40,14,5
c,19,3,3,0,14,6,2
c,20,1,4,0,7,1,1
c,21,5,3,0,15,2,2
c,22,1,4,0,6,1,1
c,23,2,3,0,15,2,2
c,24,2,3,0,34,2,1
c,25,4,5,0,40,3,2
c,2,2,19,0,125,15,2
c,3,5,1,0,3,0,0
b,4,26,10,165,305
b,5,37,22,165,329
c,6,2,16,0,125,13,1
c,7,1,4,0,4,0,0
b,8,61,81,164,663
b,9,32,12,164,454
b,10,36,13,164,453
b,11,45,16,158,318
c,12,7,12,1,143,3,1
c,13,6,17,1,130,1,0
c,14,6,14,0,138,27,6
c,15,2,14,0,132,3,1
c,16,5,13,0,139,4,2
c,17,7,11,0,134,22,5
c,18,3,4,0,23,5,3
c,19,5,11,0,119,7,2
c,20,4,2,0,25,5,3
c,21,4,8,0,148,4,2
c,22,5,1,0,26,2,2
c,23,6,4,2,23,2,2
c,24,4,12,0,144,4,2
c,25,4,13,0,143,3,1
c,2,2,14,0,147,18,3
c,3,3,3,0,7,3,2
b,4,22,7,171,333
b,5,37,26,168,193
c,6,4,2,0,15,7,4
c,7,2,3,0,5,1,1
b,8,49,83,181,775
b,9,32,11,181,482
b,10,30,7,169,313
b,11,31,8,173,489
c,12,2,21,0,142,15,2
c,13,5,15,0,150,14,2
c,14,2,15,0,145,16,4
c,15,4,14,0,148,14,2
c,16,4,14,0,139,22,3
c,17,2,15,0,137,13,2
c,18,2,15,0,141,15,2
c,19,2,3,0,6,4,2
c,20,4,1,0,11,5,3
c,21,2,4,0,4,2,2
c,22,6,17,0,121,9,3
c,23,3,15,0,146,13,2
c,24,6,14,0,146,19,5
c,25,4,11,0,128,13,3
c,2,4,2,0,20,9,4
c,3,5,1,0,3,0,0
b,4,34,6,26,38
b,5,54,46,26,55
c,6,8,0,0,18,8,4
c,7,4,4,0,12,5,2
b,8,65,99,32,116
b,9,33,6,31,45
b,10,38,10,31,61
b,11,41,13,30,46
c,12,7,3,0,14,1,1
c,13,8,1,0,14,0,0
c,14,3,2,0,18,1,1
c,15,3,3,0,13,1,1
c,16,6,2,0,14,0,0
c,17,4,3,0,21,2,2
c,18,1,4,0,6,4,2
c,19,0,5,0,0,0,0
c,20,4,3,0,9,5,3
c,21,3,2,0,19,1,1
c,22,7,2,0,18,1,1
c,23,1,5,0,9,1,1
c,24,2,4,0,5,1,1
c,25,6,3,0,21,1,1
c,2,4,6,0,39,10,5
c,3,4,2,0,2,0,0
b,4,32,13,53,116
b,5,42,34,53,94
c,6,2,3,0,9,2,2
c,7,5,3,0,10,6,4
b,8,44,67,66,214
b,9,23,6,67,104
b,10,26,5,53,96
b,11,28,11,63,102
c,12,3,7,0,46,4,3
c,13,2,5,0,17,3,2
c,14,2,4,0,14,3,2
c,15,2,5,0,31,1,1
c,16,2,6,0,28,1,1
c,17,3,6,0,38,2,2
c,18,3,7,0,36,9,5
c,19,4,2,0,22,9,6
c,20,6,3,0,26,12,6
c,21,3,2,0,16,3,2
c,22,3,5,0,44,4,3
c,23,6,4,0,23,2,2
c,24,3,6,0,45,3,3
c,25,2,4,0,5,2,1
c,2,4,2,0,1,0,0
c,3,3,4,0,24,4,3
b,4,36,19,34,69
b,5,68,28,34,82
c,6,2,3,0,19,0,0
c,7,4,3,0,23,5,4
b,8,61,142,40,127
b,9,47,7,43,64
b,10,46,6,39,44
b,11,52,6,36,79
c,12,3,3,0,24,2,1
c,13,4,2,0,26,2,1
c,14,3,3,0,13,1,1
c,15,3,3,0,16,0,0
c,16,5,3,0,7,0,0
c,17,3,4,0,25,2,1
c,18,9,1,0,21,6,5
c,19,6,2,0,14,1,1
c,20,5,3,0,8,3,3
c,21,0,5,0,0,0,0
c,22,7,2,0,17,4,3
c,23,3,4,0,20,2,1
c,24,3,5,0,24,2,1
c,25,8,2,1,22,2,1
c,2,7,5,0,38,5,2
c,3,4,6,0,20,6,1
b,4,41,18,68,121
b,5,50,28,68,178
c,6,4,2,0,23,7,2
c,7,5,5,0,61,12,4
b,8,46,76,83,318
b,9,30,6,75,122
b,10,31,12,83,146
b,11,25,5,78,150
c,12,2,3,0,32,1,0
c,13,2,4,0,65,2,1
c,14,3,7,0,40,1,1
c,15,4,3,0,44,1,1
c,16,5,7,0,40,6,2
c,17,4,6,0,75,2,1
c,18,6,3,0,24,7,2
c,19,5,5,0,20,7,2
c,20,5,2,0,24,6,1
c,21,4,5,0,13,2,1
c,22,5,7,0,39,1,1
c,23,1,7,0,39,1,1
c,24,3,5,0,23,1,0
c,25,4,8,0,50,1,1
c,2,1,4,0,10,6,2
c,3,3,3,0,5,1,1
b,4,41,8,81,155
b,5,57,56,77,201
c,6,7,7,0,58,16,7
c,7,8,3,3,42,14,7
b,8,72,73,77,286
b,9,39,16,77,111
b,10,31,10,77,131
b,11,26,5,73,95
c,12,4,4,0,27,4,2
c,13,1,5,0,15,3,1
c,14,4,4,0,26,5,3
c,15,4,9,0,36,3,2
c,16,4,2,0,52,5,4
c,17,6,7,0,34,7,2
c,18,4,9,0,65,22,9
c,19,2,10,0,49,12,4
c,20,9,6,0,44,14,9
c,21,3,5,0,31,6,4
c,22,4,10,0,51,6,3
c,23,2,8,0,36,3,2
c,24,12,4,0,32,4,4
c,25,2,4,0,17,3,1
c,2,2,14,0,131,5,4
c,3,5,4,0,24,4,3
b,4,26,10,167,336
b,5,36,25,172,342
c,6,3,4,0,29,7,4
c,7,1,15,0,118,3,2
b,8,45,74,175,775
b,9,28,9,175,340
b,10,29,7,175,204
b,11,34,9,150,412
c,12,5,15,0,126,4,3
c,13,2,16,0,114,2,2
c,14,4,15,0,146,7,4
c,15,5,11,0,150,9,5
c,16,4,2,0,17,6,3
c,17,3,3,0,26,6,3
c,18,4,5,0,14,3,3
c,19,2,16,0,129,5,3
c,20,4,7,0,15,3,1
c,21,4,10,0,146,7,4
c,22,4,11,0,130,4,3
c,23,7,17,0,124,14,6
c,24,1,7,0,11,4,2
c,25,4,16,0,133,7,4
